"table_id","row_id","row_content","claim_id","frozen_artifact","evidence_sha256","permitted_wording","prohibited_extrapolation"
"Table 1","pressure_gradient_acceleration","Pressure-gradient fresh H3","REQUAL-P03","data/ddo02b_identifiability/ddo02b_metrics.json;data/ddo02b_identifiability/ddo02b_formal_verdicts.json","551dc207bb23d22271f66d76df4fc65c08aa8649e366183ddc2db23072d2d582;6cbedb7c46bc4c3b622ef2601ee4631b9763976bb98dd414fc9dd6d33c88d87c","Report the exact pressure metrics and component verdict.","Do not attribute the failure to a single descriptor, disorder variable, or architecture."
"Table 1","pressure_gradient_acceleration","Downstream prerequisite states","CONC-P03","publication/final_hypothesis_ledger.csv;06_manifests/ddo02z_final_status_ledger.json","694841a5ff154ebaefa39207a526739eee619a8db6fb53d02447b92d92ba0743;0f7c74b44575a3f744f31b1d2c7347d462dbfdfb381f47b0fb54087daddce54a","State the exact terminal and authorization vocabulary.","Do not state that H4, H5, H6, neural SPH, GNNs, or Transformers failed."
"Table 1","viscosity_laplacian_acceleration","Viscosity-Laplacian role","FORM-P02","02_defect_definitions/operator_decomposition.md;publication/final_hypothesis_ledger.csv","13c01a36aecfd977fa8d2666db0a1aa57c1bad53b1d1c768752ec207a1f4162b;694841a5ff154ebaefa39207a526739eee619a8db6fb53d02447b92d92ba0743","Distinguish primary mappings from derived and algebraic diagnostics.","Do not report total acceleration as an independently fitted H3 route or interpolation density as a primary dynamic target."
"Table 1","viscosity_laplacian_acceleration","Viscosity-Laplacian H1","SIGNAL-P02","06_manifests/ddo01br_manifest.json","9dee9a6e1894e8c1745749b159915f7adc5a422c7b612f447188ee0c01e9a875","Report componentwise H1 PASS and the frozen numerical range.","Do not infer scaling, identifiability, learnability, or deployment performance from H1."
"Table 1","viscosity_laplacian_acceleration","Viscosity-Laplacian H2","SCALE-P03","06_manifests/ddo01cr_manifest.json","44bc51a9835be9c3bd9cd2732a9f1b9aee28cbc98cb2ca3931b83ad70f584fef","Use regular-scope-only wording for pressure, viscosity, and total acceleration.","Do not claim disorder-robust momentum scaling or a common component exponent."
"Table 1","viscosity_laplacian_acceleration","Viscosity-Laplacian fresh H3","REQUAL-P04","data/ddo02b_identifiability/ddo02b_metrics.json;data/ddo02b_identifiability/ddo02b_formal_verdicts.json","551dc207bb23d22271f66d76df4fc65c08aa8649e366183ddc2db23072d2d582;6cbedb7c46bc4c3b622ef2601ee4631b9763976bb98dd414fc9dd6d33c88d87c","Report the exact viscosity metrics and fresh verdict.","Do not generalize to every viscosity discretization or every observable representation."
"Table 1","viscosity_laplacian_acceleration","Downstream prerequisite states","CONC-P03","publication/final_hypothesis_ledger.csv;06_manifests/ddo02z_final_status_ledger.json","694841a5ff154ebaefa39207a526739eee619a8db6fb53d02447b92d92ba0743;0f7c74b44575a3f744f31b1d2c7347d462dbfdfb381f47b0fb54087daddce54a","State the exact terminal and authorization vocabulary.","Do not state that H4, H5, H6, neural SPH, GNNs, or Transformers failed."
"Table 1","total_acceleration","Derived total-acceleration role","FORM-P02","02_defect_definitions/operator_decomposition.md;publication/final_hypothesis_ledger.csv","13c01a36aecfd977fa8d2666db0a1aa57c1bad53b1d1c768752ec207a1f4162b;694841a5ff154ebaefa39207a526739eee619a8db6fb53d02447b92d92ba0743","Distinguish primary mappings from derived and algebraic diagnostics.","Do not report total acceleration as an independently fitted H3 route or interpolation density as a primary dynamic target."
"Table 1","total_acceleration","Total-acceleration H1","SIGNAL-P02","06_manifests/ddo01br_manifest.json","9dee9a6e1894e8c1745749b159915f7adc5a422c7b612f447188ee0c01e9a875","Report componentwise H1 PASS and the frozen numerical range.","Do not infer scaling, identifiability, learnability, or deployment performance from H1."
"Table 1","total_acceleration","Total-acceleration H2","SCALE-P03","06_manifests/ddo01cr_manifest.json","44bc51a9835be9c3bd9cd2732a9f1b9aee28cbc98cb2ca3931b83ad70f584fef","Use regular-scope-only wording for pressure, viscosity, and total acceleration.","Do not claim disorder-robust momentum scaling or a common component exponent."
"Table 1","total_acceleration","Downstream prerequisite states","CONC-P03","publication/final_hypothesis_ledger.csv;06_manifests/ddo02z_final_status_ledger.json","694841a5ff154ebaefa39207a526739eee619a8db6fb53d02447b92d92ba0743;0f7c74b44575a3f744f31b1d2c7347d462dbfdfb381f47b0fb54087daddce54a","State the exact terminal and authorization vocabulary.","Do not state that H4, H5, H6, neural SPH, GNNs, or Transformers failed."
"Table 2","development_density_rate","Development density-rate metrics","ID-P03","data/identifiability/ddo01e_metrics.json;data/identifiability/ddo01e_formal_verdicts.json","871108e9619b5c5405b8895ed0e82dd22ba08bf9c2104ca04d382aa0e8df9feb;478e51ea8a9b407a0181c9bb7789590a76e7dc8b6aa3301beb5084e8dbd1dd0e","Report the componentwise all-gates verdict.","Do not recompute a favorable replacement score or describe H3 failure as fundamental unlearnability."
"Table 2","development_pressure_gradient","Development pressure-gradient metrics","ID-P03","data/identifiability/ddo01e_metrics.json;data/identifiability/ddo01e_formal_verdicts.json","871108e9619b5c5405b8895ed0e82dd22ba08bf9c2104ca04d382aa0e8df9feb;478e51ea8a9b407a0181c9bb7789590a76e7dc8b6aa3301beb5084e8dbd1dd0e","Report the componentwise all-gates verdict.","Do not recompute a favorable replacement score or describe H3 failure as fundamental unlearnability."
"Table 2","development_viscosity_laplacian","Development viscosity-Laplacian metrics","ID-P03","data/identifiability/ddo01e_metrics.json;data/identifiability/ddo01e_formal_verdicts.json","871108e9619b5c5405b8895ed0e82dd22ba08bf9c2104ca04d382aa0e8df9feb;478e51ea8a9b407a0181c9bb7789590a76e7dc8b6aa3301beb5084e8dbd1dd0e","Report the componentwise all-gates verdict.","Do not recompute a favorable replacement score or describe H3 failure as fundamental unlearnability."
"Table 2","fresh_density_rate","Fresh density-rate metrics","REQUAL-P02","data/ddo02b_identifiability/ddo02b_metrics.json;data/ddo02b_identifiability/ddo02b_formal_verdicts.json","551dc207bb23d22271f66d76df4fc65c08aa8649e366183ddc2db23072d2d582;6cbedb7c46bc4c3b622ef2601ee4631b9763976bb98dd414fc9dd6d33c88d87c","Report the exact density-rate failure metrics and distinguish H1/H2 from H3.","Do not use H1/H2 PASS to repair the H3 verdict."
"Table 2","fresh_pressure_gradient","Fresh pressure-gradient metrics","REQUAL-P03","data/ddo02b_identifiability/ddo02b_metrics.json;data/ddo02b_identifiability/ddo02b_formal_verdicts.json","551dc207bb23d22271f66d76df4fc65c08aa8649e366183ddc2db23072d2d582;6cbedb7c46bc4c3b622ef2601ee4631b9763976bb98dd414fc9dd6d33c88d87c","Report the exact pressure metrics and component verdict.","Do not attribute the failure to a single descriptor, disorder variable, or architecture."
"Table 2","fresh_viscosity_laplacian","Fresh viscosity-Laplacian metrics","REQUAL-P04","data/ddo02b_identifiability/ddo02b_metrics.json;data/ddo02b_identifiability/ddo02b_formal_verdicts.json","551dc207bb23d22271f66d76df4fc65c08aa8649e366183ddc2db23072d2d582;6cbedb7c46bc4c3b622ef2601ee4631b9763976bb98dd414fc9dd6d33c88d87c","Report the exact viscosity metrics and fresh verdict.","Do not generalize to every viscosity discretization or every observable representation."
"Table 3","h1_pilot_requalification","H1 evidence-set design and case count","NUM-P02","06_manifests/ddo01br_manifest.json;06_manifests/ddo01cr_manifest.json","9dee9a6e1894e8c1745749b159915f7adc5a422c7b612f447188ee0c01e9a875;44bc51a9835be9c3bd9cd2732a9f1b9aee28cbc98cb2ca3931b83ad70f584fef","Report the exact H1/H2 numerical qualification counts and discrepancies.","Do not treat these cases as balanced F1-F4 H3 evidence."
"Table 3","h2_scaling","H2 evidence-set design and case count","NUM-P02","06_manifests/ddo01br_manifest.json;06_manifests/ddo01cr_manifest.json","9dee9a6e1894e8c1745749b159915f7adc5a422c7b612f447188ee0c01e9a875;44bc51a9835be9c3bd9cd2732a9f1b9aee28cbc98cb2ca3931b83ad70f584fef","Report the exact H1/H2 numerical qualification counts and discrepancies.","Do not treat these cases as balanced F1-F4 H3 evidence."
"Table 3","development_atlas","Development atlas balance","ATLAS-P01","06_manifests/ddo01d_manifest.json;07_reports/ddo01d_atlas_report.md","aa348eea6d59dd72d4d80116e7a44b212d9f6b571e79bbff514ceab59f0515f8;34287fad5e29fec9cafd9f66899a4ba1069095d9b8d19d495aacfd4f1c21fd9c","State the prospective registry and exact balance.","Do not imply that the atlas itself evaluated H3 or constituted a sealed test."
"Table 3","development_atlas","Consumed development-evidence role","ATLAS-P03","06_manifests/ddo01d_manifest.json;06_manifests/ddo02z_final_status_ledger.json","aa348eea6d59dd72d4d80116e7a44b212d9f6b571e79bbff514ceab59f0515f8;0f7c74b44575a3f744f31b1d2c7347d462dbfdfb381f47b0fb54087daddce54a","Maintain the development/consumed role of all 512 cases.","Do not count DDO-01D cases toward the DDO-02B fresh quota."
"Table 3","fresh_requalification","Fresh evidence design and formal samples","REQUAL-P01","06_manifests/ddo02b_case_registry.json;data/ddo02b_identifiability/ddo02b_metrics.json","5588bcc92c0db124481187c17c1e313ef308cddfc75968f152107a4abb1264b4;551dc207bb23d22271f66d76df4fc65c08aa8649e366183ddc2db23072d2d582","State exact case balance, sample count, and zero lineage overlap.","Do not reuse the 512 development cases as fresh formal evidence."
