reader_order,claim_id,section,paragraph_sha256,paragraph_text,evidence_artifact,evidence_sha256,scientific_status,permitted_wording,prohibited_extrapolation,verified_reference_ids
11,FORM-P05,2.2 Analytical reference and numerical qualification,bd12e9191fc4995711f609f4bce5ab9129c11d4e2890e33e32dab06a235aead1,"Closed-form derivatives of the manufactured fields provided the primary continuum reference. An independent automatic-differentiation route was used only to cross-check those derivatives. Refining the same SPH discretization was not treated as a reference solution, and high-resolution SPH was never used as truth. The resulting scope is an analytical, fixed-time assessment of spatial operators rather than an evaluation of accumulated trajectory error.",00_project_contract/ddo_project_charter.md;06_manifests/ddo01br_manifest.json;06_manifests/ddo01d_manifest.json,73695788de6a093db17dd016ef67906098a3cef40dc2b8bf96a68058f41c2db6;9dee9a6e1894e8c1745749b159915f7adc5a422c7b612f447188ee0c01e9a875;aa348eea6d59dd72d4d80116e7a44b212d9f6b571e79bbff514ceab59f0515f8,FROZEN_REFERENCE_HIERARCHY,State the analytical-reference hierarchy and high-resolution-SPH boundary.,Do not claim that high-resolution SPH is truth.,
12,NUM-P01,2.2 Analytical reference and numerical qualification,5cf67e80e65a40a1dc0a94228c18cd90f8f1ca4c8b9f35b15d098509d6b611c4,"Numerical qualification combined analytical-route agreement with explicit SPH graph and accumulation checks. The graph audits covered periodic topology, neighbour reciprocity, support completeness, and deterministic geometry reconstruction. Repeat evaluation, neighbour permutation, compensated accumulation, the positive-additive sign convention, and pressure-plus-viscosity component closure were also checked. Formal uncertainty was based on float64 calculations; float32 degradation remained a non-gating diagnostic.",06_manifests/ddo01br_manifest.json;06_manifests/ddo01cr_manifest.json;06_manifests/ddo01d_manifest.json;data/ddo02b_atlas/ddo02b_case_metadata.json,9dee9a6e1894e8c1745749b159915f7adc5a422c7b612f447188ee0c01e9a875;44bc51a9835be9c3bd9cd2732a9f1b9aee28cbc98cb2ca3931b83ad70f584fef;aa348eea6d59dd72d4d80116e7a44b212d9f6b571e79bbff514ceab59f0515f8;1e89221d7d13c1933d2ebb89452c4f1c3273e7ec15b9e2bf9557e3b2cea01a9e,FROZEN_METHOD,Describe only the audits recorded in the frozen stage artifacts.,"Do not infer dynamic stability, conservation of a learned correction, or solver convergence.",
13,FORM-P02,2.3 Manufactured-field families and component roles,2fd2f6a26fd98ec8f8a769b4ff4e0ae68868831b8a0bf6776b406e088a07e42e,"Three quantities were treated as independent primary dynamic components: density rate, pressure-gradient acceleration, and viscosity-Laplacian acceleration. Total acceleration was retained only as the derived pressure-plus-viscosity closure diagnostic. Interpolation density was treated as an algebraic density diagnostic. These roles were fixed before qualification and prevented a favourable derived quantity from replacing a failed primary component.",02_defect_definitions/operator_decomposition.md;publication/final_hypothesis_ledger.csv,13c01a36aecfd977fa8d2666db0a1aa57c1bad53b1d1c768752ec207a1f4162b;694841a5ff154ebaefa39207a526739eee619a8db6fb53d02447b92d92ba0743,FROZEN_COMPONENT_ROLES,Distinguish primary mappings from derived and algebraic diagnostics.,Do not report total acceleration as an independently fitted H3 route or interpolation density as a primary dynamic target.,
14,ATLAS-P02,2.3 Manufactured-field families and component roles,6d02631a72777d1a0b88f48b305c231cceb2a451c49845f967df840380d7a267,"The manufactured fields comprised four mechanism families. They covered single-mode fields, multimode fields, directional or mechanism-focused fields, and controlled-disorder configurations. The disorder family included matched blocks across support ratio and perturbation level, so difficult strata were retained rather than removed after numerical evaluation. The family definitions were fixed before target construction.",06_manifests/ddo01d_manifest.json;07_reports/ddo01d_atlas_report.md;07_reports/ddo01e_disorder_mechanism_report.md,aa348eea6d59dd72d4d80116e7a44b212d9f6b571e79bbff514ceab59f0515f8;34287fad5e29fec9cafd9f66899a4ba1069095d9b8d19d495aacfd4f1c21fd9c;42c5c0dace911df53b3c03ff8c4c446bcd4c8d016dd85039b45b860ead67bf3a,FROZEN_ATLAS_SCOPE,Describe the mechanism and matched-block organization at the frozen level.,Do not attribute an independent causal effect to support ratio or neighbor count when they co-vary.,
15,SIGNAL-P01,2.4 Signal-resolvability qualification,fb02cbc7f554d54073cc32e885d085aee4d6a598d8dba8829dbffb2688be1623,"For component \(c\), signal resolvability compared a robust target scale \(T_c\) with qualified numerical and reference uncertainty \(U_c\) through \(R_c=T_c/U_c\). The preregistered criterion required \(R_c\geq10\) and a stratified-bootstrap lower bound \(L_{95,c}>5\). Analytically unexcited component-case pairs were excluded from the component aggregation rather than inserted as zeros. This procedure tested whether a defect rose above the numerical uncertainty floor.",06_manifests/ddo01br_manifest.json,9dee9a6e1894e8c1745749b159915f7adc5a422c7b612f447188ee0c01e9a875,FROZEN_H1_METHOD,State the frozen H1 thresholds and unexcited-case rule.,Do not redefine H1 using average target magnitude or include unexcited zeros.,
16,SIGNAL-P03,2.4 Signal-resolvability qualification,dfadebb0890583bc3992fdf2564435c30f1bbacf059b61fe97eaa6b9ea376326,"Signal qualification was deliberately not interpreted as learnability. A component could satisfy the amplitude criteria while remaining ambiguous for deployment observables. Likewise, a later identifiability result could not be attributed to insufficient signal once signal qualification had passed. This separation preserved the distinct evidential roles of uncertainty qualification and conditional target determination.",06_manifests/ddo01br_manifest.json;publication/failure_taxonomy.md,9dee9a6e1894e8c1745749b159915f7adc5a422c7b612f447188ee0c01e9a875;0af5609d7ee6603f001e0260ea70959394096ff81d4b051a5f081d02b991a69f,FROZEN_INTERPRETATION,State that weak signal was rejected within the tested scopes and distinguish H1 from H3.,Do not describe H1 PASS as proof of predictability.,
17,SCALE-P01,2.5 Controlled scaling qualification,3546fd3f5cf765ef48b54f43378c7d2d9dd611cfcc67e14c9960d8e329c1a11f,Controlled scaling was assessed prospectively on refinement and spectral tracks at the canonical formal support ratio \(h/\Delta x=4\). Separate regular and jittered scopes were evaluated with predefined monotonicity and dispersion gates. Local log slopes were reported only as descriptive summaries and were not fitted or interpreted as convergence orders. The formal outcome was therefore a componentwise statement about systematic variation within the tested tracks.,06_manifests/ddo01cr_manifest.json,44bc51a9835be9c3bd9cd2732a9f1b9aee28cbc98cb2ca3931b83ad70f584fef,FROZEN_H2_METHOD,State the frozen H2 design and decision variables.,Do not report descriptive slopes as universal convergence orders.,
18,ATLAS-P01,2.6 Mechanism-stratified development atlas,25259d8e02d8ff2202237359472d933f22566c860c8428aa7001923c38a6c35e,"The mechanism-stratified development atlas contained 512 complete static cases. Its registry was fixed before target evaluation and was balanced across the four families, with 128 cases per family. The design exposed the observable mapping to several defect mechanisms rather than to a single refinement sequence. All case strata remained subject to the same analytical-reference, numerical-qualification, and firewall requirements.",06_manifests/ddo01d_manifest.json;07_reports/ddo01d_atlas_report.md,aa348eea6d59dd72d4d80116e7a44b212d9f6b571e79bbff514ceab59f0515f8;34287fad5e29fec9cafd9f66899a4ba1069095d9b8d19d495aacfd4f1c21fd9c,FROZEN_ATLAS_DESIGN,State the prospective registry and exact balance.,Do not imply that the atlas itself evaluated H3 or constituted a sealed test.,
19,ATLAS-P03,2.6 Mechanism-stratified development atlas,6029805f5c8660888545016543486e8a784c9c7b8fd71f27daf85ff9becbdc41,"The 512 cases were designated development evidence from their creation. They supported the initial identifiability assessment and later failure attribution, after which they were considered consumed for observable design. They could not be relabelled as fresh evidence for the redesigned representation. This distinction enforced independence between diagnosis and formal requalification.",06_manifests/ddo01d_manifest.json;06_manifests/ddo02z_final_status_ledger.json,aa348eea6d59dd72d4d80116e7a44b212d9f6b571e79bbff514ceab59f0515f8;0f7c74b44575a3f744f31b1d2c7347d462dbfdfb381f47b0fb54087daddce54a,FROZEN_DATA_ROLE,Maintain the development/consumed role of all 512 cases.,Do not count DDO-01D cases toward the DDO-02B fresh quota.,
20,ATLAS-P04,2.6 Mechanism-stratified development atlas,a939bc39a703674aef713874a0e80eef4689218fbceb300d45545f98e4317c85,"Atlas qualification established case balance, numerical validity, descriptor availability, and reference separation. It did not establish predictability, locality, representation suitability, target-manifold dimension, or solver improvement. These properties required separate diagnostics and, where applicable, fresh evidence.",07_reports/ddo01d_atlas_report.md,34287fad5e29fec9cafd9f66899a4ba1069095d9b8d19d495aacfd4f1c21fd9c,FROZEN_CLAIM_BOUNDARY,Use the atlas only for its qualified design and data roles.,"Do not claim H3-H6, manifold structure, training success, or solver correction from atlas construction.",
21,ID-P01,2.7 Identifiability and locality diagnostics,b2b0bbb38fa7e5c45b47a2bad784e39573d738fb447ef41769a8594cc8e96092,"Observable identifiability was assessed by asking whether nearby particles in deployment-compatible feature space had sufficiently similar defects. The diagnostics combined nearest-neighbour disagreement, conditional target variance, fixed non-neural oracle error and improvement, family robustness, and feature-space coverage. The disagreement median and 90th percentile could not exceed 0.25 and 0.60, respectively. Conditional-variance and oracle-error limits were 0.35 and 0.50, while coverage had to reach 0.90. Every applicable gate had to pass.",data/identifiability/ddo01e_metrics.json,871108e9619b5c5405b8895ed0e82dd22ba08bf9c2104ca04d382aa0e8df9feb,FROZEN_H3_METHOD,Describe the preregistered H3 diagnostic classes without presenting them as production models.,"Do not call kNN, ridge, or polynomial ridge trained correction architectures.",
22,ID-P02,2.7 Identifiability and locality diagnostics,67adb2c1f072c7db9bdf9ecaa1f556fe5746e9388c7e95ad2963da3cc40f7586,"The initial assessment used exactly 65,536 deterministically selected particle samples, corresponding to 128 particles from each development case. Five folds were separated by manufactured-field lineage. Feature scaling used the training-fold median and interquartile range, and zero-interquartile-range channels were removed within each fold. Exact nearest-neighbour queries used \(k=5,10,20\), while ridge, polynomial-ridge, and nearest-neighbour regressors served only as fixed diagnostic oracles.",data/identifiability/ddo01e_metrics.json;data/identifiability/ddo01e_firewall_audit.json,871108e9619b5c5405b8895ed0e82dd22ba08bf9c2104ca04d382aa0e8df9feb;5e32db365620c8d8d621d3ccabc502aaffe1f83bda542e533541daf235e20d8b,FROZEN_INITIAL_H3_EXECUTION,"State sample count, lineage isolation, and train-only preprocessing.",Do not describe the development evidence as fresh DDO-02B evidence.,
23,REDESIGN-P02,2.8 Prospective observable redesign and fresh requalification,d329271b4b25f111b63b33c04b319a2ccf8efb7f21e913a0e06ee7845cce87f2,"Candidate redesign information was classified as runtime-direct, runtime-estimable, or design-only. The manufactured-wave quantities \(kh_{\max}\), \(kh_{\mathrm{rms}}\), mode count, and jitter fraction were design-only and were excluded from the formal deployable set. Reference-free status alone was not sufficient for deployment eligibility; the information also had to be available or estimable under the intended online route.",data/ddo02a/deployment_observability_ledger.csv;06_manifests/ca06_manifest.json,d2b80a2ae350e62afbcac7e1a6e037915ccd78240461548c3dd931fac5dd298b;9b238af878ae9a8bb64166631abd99e30ca2c5d66d3535781085de86953f033f,FROZEN_DEPLOYMENT_AUDIT,Name the four prohibited design-only fields and their exclusion.,Do not assume that any reference-free field is deployment-observable.,
24,REDESIGN-P03,2.8 Prospective observable redesign and fresh requalification,1c89282aea4354e6032448e7fa798915458dccd85e2baa355daebd6c7cac5614,"Before any fresh target was evaluated, the expanded representation was fixed with 30 reference-free descriptors. These covered weighted second- to fourth-order particle moments, angular harmonics, observable-defined directional channels, and local quadratic reconstruction proxies. Descriptor dimensions, normalization, transformation behaviour, conditioning, failure flags, contextual aggregation, and frame-degeneracy fallback were specified prospectively. The design used geometric equivariance only as representation context; no equivariant neural network was implemented (Satorras et al., 2021).",06_manifests/ca06_manifest.json;06_manifests/ca06_descriptor_dictionary.json;publication/literature/citation_claim_map.csv,9b238af878ae9a8bb64166631abd99e30ca2c5d66d3535781085de86953f033f;591a9826b7560b5a8865b3b4b7d540efd7791deeba80cff9751e357b3908c262;ee11699c64ce05fe80719f01baf494d672d892f8b45dbe5c107fe3e769ce388c,FROZEN_PROSPECTIVE_CONTRACT_WITH_VERIFIED_EXTERNAL_CONTEXT,Describe the exact frozen descriptor groups and freeze order.,Do not claim that an equivariant GNN was implemented or tested.,R10
25,REQUAL-P01,2.8 Prospective observable redesign and fresh requalification,f0218f4a865ee401a78d9e1b788936cc9889c04fba27bc2d85c74478d376b0ab,"Fresh requalification used 384 newly generated complete cases, balanced as 96 cases per family. New deterministic phases and disorder realizations produced zero field-lineage overlap with the development atlas. Exactly 49,152 particle samples entered the formal analysis. The expanded representation and all diagnostic gates remained unchanged after fresh target access.",06_manifests/ddo02b_case_registry.json;data/ddo02b_identifiability/ddo02b_metrics.json,5588bcc92c0db124481187c17c1e313ef308cddfc75968f152107a4abb1264b4;551dc207bb23d22271f66d76df4fc65c08aa8649e366183ddc2db23072d2d582,FROZEN_FRESH_DESIGN,"State exact case balance, sample count, and zero lineage overlap.",Do not reuse the 512 development cases as fresh formal evidence.,
26,NUM-P02,3.1 Numerical qualification and defect resolvability,45d139b3ae0ae6a71635cfafe0d27d0ed09cacc71d5ffd2cb73bd7cb25a32d0e,"All 24 signal-qualification cases passed the mandatory analytical, topology, uncertainty, sign, and closure audits. The maximum discrepancy between analytical derivative routes was \(1.776357\times10^{-15}\), and the maximum component-closure residual was zero. All 204 scaling cases also passed numerical qualification. Their maximum derivative discrepancy was \(1.421086\times10^{-14}\), and every formal log response was admissible.",06_manifests/ddo01br_manifest.json;06_manifests/ddo01cr_manifest.json,9dee9a6e1894e8c1745749b159915f7adc5a422c7b612f447188ee0c01e9a875;44bc51a9835be9c3bd9cd2732a9f1b9aee28cbc98cb2ca3931b83ad70f584fef,FROZEN_QUALIFIED_RESULT,Report the exact H1/H2 numerical qualification counts and discrepancies.,Do not treat these cases as balanced F1-F4 H3 evidence.,
27,NUM-P03,3.1 Numerical qualification and defect resolvability,7f9453feaf7a6ffc8588675581fd9809c1307b54db74aa2405de2506a83466f5,The 512-case development atlas passed numerical qualification without post-target case replacement or failure deletion. Observable and reference-target archives remained physically separated. No empirical target normalization based on fitted powers of the smoothing length was introduced. The complete balanced atlas was therefore retained for the initial observable assessment.,06_manifests/ddo01d_manifest.json;07_reports/ddo01d_atlas_report.md,aa348eea6d59dd72d4d80116e7a44b212d9f6b571e79bbff514ceab59f0515f8;34287fad5e29fec9cafd9f66899a4ba1069095d9b8d19d495aacfd4f1c21fd9c,FROZEN_DEVELOPMENT_ATLAS_QUALIFICATION,State 512/512 qualification and storage separation.,Do not call the DDO-01D cases fresh DDO-02B requalification evidence.,
28,NUM-P04,3.1 Numerical qualification and defect resolvability,9d43e59a8b7adeefeac9cf039236fc391448fb10a1de51e7479951b8a722f57e,All 384 fresh cases passed the same mandatory fixed-time qualification before formal aggregation. The fresh release audit satisfied all 13 preregistered quality gates. Its feature-schema audit also recorded that the reference archive was not opened during observable-feature construction. These checks preserved the target-input firewall after redesign.,data/ddo02b_atlas/ddo02b_case_metadata.json;data/ddo02b_identifiability/ddo02b_observable_feature_schema.json;06_manifests/ddo02b_manifest.json,1e89221d7d13c1933d2ebb89452c4f1c3273e7ec15b9e2bf9557e3b2cea01a9e;3abde8010d1eb99112af74406fffab164ecaa20aa8ba4df3e3c8d907440c28d5;56fb9259a9abbc702684028485cce61b3f00fada37febe56778bc35492fc334d,FROZEN_FRESH_QUALIFICATION,"State 384/384 validity, firewall preservation, and release completion.","Do not interpret release qualification as H3, H5, rollout, or solver qualification.",
29,SIGNAL-P02,3.1 Numerical qualification and defect resolvability,6e2abf7d561d7d7abf06434d9399fa596bce45069996b8eeb2f1ca7fc5d06e68,"All five components satisfied the signal-resolvability criteria over their qualified excited-case scopes. Ratios were \(2.455\times10^{11}\) for interpolation density, \(1.615\times10^{12}\) for density rate, and \(2.194\times10^{12}\) for pressure-gradient acceleration. They were \(1.405\times10^{12}\) for viscosity-Laplacian acceleration and \(1.267\times10^{12}\) for total acceleration. Bootstrap lower bounds ranged from \(2.284\times10^{11}\) to \(1.643\times10^{12}\), far above the qualification limits.",06_manifests/ddo01br_manifest.json,9dee9a6e1894e8c1745749b159915f7adc5a422c7b612f447188ee0c01e9a875,FROZEN_H1_PASS,Report componentwise H1 PASS and the frozen numerical range.,"Do not infer scaling, identifiability, learnability, or deployment performance from H1.",
