claim,hypothesis,component,evidence_stage,development_fresh_status,metric,threshold,result,claim_scope,prohibited_extrapolation,source_artifact,sha256
DDO-01B-R fixed-time references and signals were numerically qualified,F0,all,DDO-01B-R,FRESH_H1_EVIDENCE,mandatory valid cases; maximum derivative discrepancy; maximum closure residual,24/24; derivative gates PASS; closure within bound,24/24; 1.776357e-15; 0,F1 H1 qualification cases,not a dynamic solver or H2-H6 qualification,06_manifests/ddo01br_manifest.json,9dee9a6e1894e8c1745749b159915f7adc5a422c7b612f447188ee0c01e9a875
DDO-01C-R scaling evidence was numerically qualified,F0,all,DDO-01C-R,FRESH_H2_EVIDENCE,mandatory valid cases; admissible log responses,204/204 and all admissible,204/204 PASS,F1 scaling design,not a balanced F1-F4 atlas or H3 evidence,06_manifests/ddo01cr_manifest.json,44bc51a9835be9c3bd9cd2732a9f1b9aee28cbc98cb2ca3931b83ad70f584fef
The development atlas contains 512 balanced complete cases,ATLAS_QUALIFICATION,all,DDO-01D,DEVELOPMENT_ATLAS,case and family counts,512; 128 each F1--F4,512; F1=F2=F3=F4=128,static analytical fields,not sealed/fresh DDO-02B evidence,07_reports/ddo01d_atlas_report.md,34287fad5e29fec9cafd9f66899a4ba1069095d9b8d19d495aacfd4f1c21fd9c
All DDO-01D cases passed numerical qualification,F0,all,DDO-01D,DEVELOPMENT_ATLAS,mandatory valid cases,512/512,512/512 PASS,float64 analytical/SPH fixed-time evaluation,high-resolution SPH is not truth,07_reports/ddo01d_atlas_report.md,34287fad5e29fec9cafd9f66899a4ba1069095d9b8d19d495aacfd4f1c21fd9c
Observable and reference archives were physically separated,F0_FIREWALL,all,DDO-01D,DEVELOPMENT_ATLAS,reference firewall,PASS,PASS,DDO-01D stored atlas,reference-free is not automatically deployment-observable,07_reports/ddo01d_atlas_report.md,34287fad5e29fec9cafd9f66899a4ba1069095d9b8d19d495aacfd4f1c21fd9c
The first observable representation failed H3,H3,three primary components,DDO-01E,CONSUMED_DEVELOPMENT_EVIDENCE,"formal H3 statuses on 65,536 samples",all component gates must pass,DDO01E_OBSERVABLE_MAPPING_NOT_IDENTIFIABLE,512-case development atlas; C3/L3,cannot be replaced by DDO-02A diagnostics,data/identifiability/ddo01e_metrics.json,871108e9619b5c5405b8895ed0e82dd22ba08bf9c2104ca04d382aa0e8df9feb
The initial H3 analysis preserved the observable/reference firewall,H3_FIREWALL,all,DDO-01E,CONSUMED_DEVELOPMENT_EVIDENCE,observable-source and fold-scaling audit,PASS,PASS,"65,536 diagnostic samples",no deployment-observability claim for DESIGN_ONLY metadata,data/identifiability/ddo01e_firewall_audit.json,5e32db365620c8d8d621d3ccabc502aaffe1f83bda542e533541daf235e20d8b
Feature-space coverage was above the formal minimum but H3 still failed,F3,three primary components,DDO-01E,CONSUMED_DEVELOPMENT_EVIDENCE,C3/L3 coverage,>=0.90,0.953 and H3 FAIL,DDO-01E formal combination,coverage is not proof of identifiability,data/identifiability/ddo01e_metrics.json,871108e9619b5c5405b8895ed0e82dd22ba08bf9c2104ca04d382aa0e8df9feb
Observable conditional ambiguity is supported,F4,primary dynamic components,DDO-01E,CONSUMED_DEVELOPMENT_EVIDENCE,DNN tail/Cvar/oracle gates,CA-05 H3 thresholds,multiple ambiguity and/or oracle gates failed,mechanism-stratified development atlas,not fundamental unlearnability,data/identifiability/ddo01e_metrics.json,871108e9619b5c5405b8895ed0e82dd22ba08bf9c2104ca04d382aa0e8df9feb
Simple consistency descriptors did not rescue disorder ambiguity,F5,pressure; viscosity,DDO-01E,CONSUMED_DEVELOPMENT_DIAGNOSTIC,F4 C0 versus C1 ablation,uniform negative ambiguity/error delta required for rescue,no uniform rescue,matched F4 blocks,no independent causal attribution to h/dx or neighbor count,07_reports/ddo01e_descriptor_ablation_report.md,750e84a502035f35cf0b9ee67390be92b2863b9def8b28950ab839cf9e85ae62
Directional augmentation was supported only for a fresh test,F6,pressure; viscosity,DDO-02A,CONSUMED_DESIGN_EVIDENCE,best DNN-P90 relative reduction,>=0.10 diagnostic support rule,0.1049; SUPPORTED_FOR_FRESH_TEST,"16,384 consumed diagnostic samples",not a new H3 PASS,data/ddo02a/attribution_metrics.json,f2dca85e6c0e1db38aed3f32eca90a12375bc60af21a8dd544acc07b2d4c1a10
CA-06 froze 30 deployment-compatible expanded descriptors before fresh target evaluation,PROSPECTIVE_REDESIGN,all,CA-06,PROSPECTIVE_CONTRACT,descriptor count and freeze order,contract frozen before DDO-02B targets,30; freeze prerequisite PASS,C0--C3 deployable ladder,DESIGN_ONLY fields excluded; no retrospective DDO-01E repair,06_manifests/ca06_manifest.json,9b238af878ae9a8bb64166631abd99e30ca2c5d66d3535781085de86953f033f
DDO-02B used 384 entirely fresh balanced cases,FRESH_REQUALIFICATION,all,DDO-02B,FRESH_FORMAL_EVIDENCE,case/family counts and lineage overlap,384; 96 each; overlap=0,384; 96 each; overlap=0,new phases and disorder realizations,old 512 cases cannot count as fresh evidence,06_manifests/ddo02b_case_registry.json,5588bcc92c0db124481187c17c1e313ef308cddfc75968f152107a4abb1264b4
All DDO-02B cases passed numerical qualification,F0,all,DDO-02B,FRESH_FORMAL_EVIDENCE,mandatory valid cases,384/384,384/384 PASS,fixed-time analytical/SPH evaluation,no dynamic solver qualification,data/ddo02b_atlas/ddo02b_case_metadata.json,1e89221d7d13c1933d2ebb89452c4f1c3273e7ec15b9e2bf9557e3b2cea01a9e
The fresh observable cache excludes DESIGN_ONLY fields,FIREWALL,all,DDO-02B,FRESH_FORMAL_EVIDENCE,prohibited fields absent,"kh_max, kh_rms, mode_count, jitter_fraction absent",PASS,formal deployable feature cache,does not establish real-solver external validity,data/ddo02b_identifiability/ddo02b_observable_feature_schema.json,3abde8010d1eb99112af74406fffab164ecaa20aa8ba4df3e3c8d907440c28d5
The DDO-02B release audit passed all frozen release gates,EVIDENCE_FREEZE,all,DDO-02B,FRESH_FORMAL_EVIDENCE,release gates,all required gates PASS,13/13 PASS,fresh formal evidence release,not an H5/H6 or solver qualification,data/ddo02b_identifiability/ddo02b_release_audit.json,d5ec1c94256c8867df8ad686faf482b6fc0d5efb576b4056ac7c84f7ad3b746e
Fresh density rate deployable-observable mapping failed H3,H3,density_rate,DDO-02B,FRESH_FORMAL_EVIDENCE,DNN median=0.0012761; DNN P90=8.2015; Cvar upper95=0.14891; oracle NRMSE=0.54815,DNN median<=0.25; P90<=0.60; Cvar upper95<=0.35; NRMSE<=0.50 plus remaining CA-05 gates,H3_OBSERVABLE_MAPPING_NOT_IDENTIFIABLE,"C3/L3; 49,152 samples across 384 fresh cases",not all defects unlearnable; temporal or other observables untested,data/ddo02b_identifiability/ddo02b_metrics.json,551dc207bb23d22271f66d76df4fc65c08aa8649e366183ddc2db23072d2d582
Fresh pressure gradient deployable-observable mapping failed H3,H3,pressure_gradient_acceleration,DDO-02B,FRESH_FORMAL_EVIDENCE,DNN median=0.0008044; DNN P90=45.54; Cvar upper95=1.0698; oracle NRMSE=1.0097,DNN median<=0.25; P90<=0.60; Cvar upper95<=0.35; NRMSE<=0.50 plus remaining CA-05 gates,H3_OBSERVABLE_MAPPING_NOT_IDENTIFIABLE,"C3/L3; 49,152 samples across 384 fresh cases",not all defects unlearnable; temporal or other observables untested,data/ddo02b_identifiability/ddo02b_metrics.json,551dc207bb23d22271f66d76df4fc65c08aa8649e366183ddc2db23072d2d582
Fresh viscosity Laplacian deployable-observable mapping failed H3,H3,viscosity_laplacian_acceleration,DDO-02B,FRESH_FORMAL_EVIDENCE,DNN median=0.2773; DNN P90=26.876; Cvar upper95=0.40421; oracle NRMSE=1.049,DNN median<=0.25; P90<=0.60; Cvar upper95<=0.35; NRMSE<=0.50 plus remaining CA-05 gates,H3_OBSERVABLE_MAPPING_NOT_IDENTIFIABLE,"C3/L3; 49,152 samples across 384 fresh cases",not all defects unlearnable; temporal or other observables untested,data/ddo02b_identifiability/ddo02b_metrics.json,551dc207bb23d22271f66d76df4fc65c08aa8649e366183ddc2db23072d2d582
Observable directional frames frequently used the frozen degeneracy fallback,F6,all,DDO-02B,FRESH_FORMAL_EVIDENCE,degenerate-frame count / exact particle denominator,eigenvalue-gap fallback <1e-6,515904/627264 (82.246710%),all particles used to construct DDO-02B descriptors,not proof that all equivariant approaches fail,data/ddo02b_identifiability/ddo02b_observable_feature_schema.json,3abde8010d1eb99112af74406fffab164ecaa20aa8ba4df3e3c8d907440c28d5
H4 was not qualified because H3 failed,H4,primary dynamic components,DDO-02B,FRESH_FORMAL_EVIDENCE,H4 prerequisite,H3 PASS required,NOT QUALIFIED,tested C3 L0--L3 ladder,do not state that locality globally fails,data/ddo02b_identifiability/ddo02b_formal_verdicts.json,6cbedb7c46bc4c3b622ef2601ee4631b9763976bb98dd414fc9dd6d33c88d87c
No neural training was performed because H3 was not met,H5,all,DDO-02B,PROJECT_CLOSURE,H5 authorization and training controls,at least one primary H3 PASS required,authorized=[]; executed=false,current instantaneous online spatial-DDO route,"does not show that neural SPH, GNNs, or Transformers cannot work",06_manifests/ddo02b_manifest.json,56fb9259a9abbc702684028485cce61b3f00fada37febe56778bc35492fc334d
Target SVD remains a covariance diagnostic only,DIAGNOSTIC_BOUNDARY,target bundle,DDO-01E,CONSUMED_DEVELOPMENT_DIAGNOSTIC,first-two covariance concentration,no identifiability/manifold gate,~0.999709 overall; no verdict change,normalized target covariance,do not claim a two-dimensional target manifold,data/identifiability/ddo01e_target_subspace_diagnostic.json,e2a06889a503390a47e3e19b7164ad09135dd9575cc643d32a508bf55a381d58
