claim_id,section,paragraph_purpose,claim_text_summary,evidence_artifact,evidence_sha256,scientific_status,permitted_wording,prohibited_extrapolation,citation_need_ids
FORM-P05,2. Spatial discretization-defect formulation and qualification hierarchy,Reference hierarchy boundary,Closed-form analytical derivatives are the primary reference and are cross-checked by an independent automatic-differentiation route. Refining the same SPH discretization is not treated as truth. This hierarchy confines the study to analytical fixed-time spati,00_project_contract/ddo_project_charter.md;06_manifests/ddo01br_manifest.json;06_manifests/ddo01d_manifest.json,73695788de6a093db17dd016ef67906098a3cef40dc2b8bf96a68058f41c2db6;9dee9a6e1894e8c1745749b159915f7adc5a422c7b612f447188ee0c01e9a875;aa348eea6d59dd72d4d80116e7a44b212d9f6b571e79bbff514ceab59f0515f8,FROZEN_REFERENCE_HIERARCHY,State the analytical-reference hierarchy and high-resolution-SPH boundary.,Do not claim that high-resolution SPH is truth.,
NUM-P01,3. Analytical reference and numerical qualification,Cross-check methodology,"Analytical derivatives and continuum components were independently evaluated and compared under float64 discrepancy gates. The SPH graph was audited for periodic topology, reciprocity, support completeness, and deterministic reconstruction, while repeat evalua",06_manifests/ddo01br_manifest.json;06_manifests/ddo01cr_manifest.json;06_manifests/ddo01d_manifest.json;data/ddo02b_atlas/ddo02b_case_metadata.json,9dee9a6e1894e8c1745749b159915f7adc5a422c7b612f447188ee0c01e9a875;44bc51a9835be9c3bd9cd2732a9f1b9aee28cbc98cb2ca3931b83ad70f584fef;aa348eea6d59dd72d4d80116e7a44b212d9f6b571e79bbff514ceab59f0515f8;1e89221d7d13c1933d2ebb89452c4f1c3273e7ec15b9e2bf9557e3b2cea01a9e,FROZEN_METHOD,Describe only the audits recorded in the frozen stage artifacts.,"Do not infer dynamic stability, conservation of a learned correction, or solver convergence.",
NUM-P02,3. Analytical reference and numerical qualification,Early-stage numerical results,"All 24 fresh H1 cases passed the mandatory analytical, topology, uncertainty, sign, and closure audits; the maximum analytical-route derivative discrepancy was 1.776357e-15 and the maximum component-closure residual was zero. All 204 fresh H2 cases likewise pa",06_manifests/ddo01br_manifest.json;06_manifests/ddo01cr_manifest.json,9dee9a6e1894e8c1745749b159915f7adc5a422c7b612f447188ee0c01e9a875;44bc51a9835be9c3bd9cd2732a9f1b9aee28cbc98cb2ca3931b83ad70f584fef,FROZEN_QUALIFIED_RESULT,Report the exact H1/H2 numerical qualification counts and discrepancies.,Do not treat these cases as balanced F1-F4 H3 evidence.,
NUM-P03,3. Analytical reference and numerical qualification,Atlas numerical results,"The 512-case DDO-01D development atlas passed numerical qualification without post-target replacement or failure deletion. Its observable and reference-target archives were physically separated, and no empirical target normalization based on fitted powers of h",06_manifests/ddo01d_manifest.json;07_reports/ddo01d_atlas_report.md,aa348eea6d59dd72d4d80116e7a44b212d9f6b571e79bbff514ceab59f0515f8;34287fad5e29fec9cafd9f66899a4ba1069095d9b8d19d495aacfd4f1c21fd9c,FROZEN_DEVELOPMENT_ATLAS_QUALIFICATION,State 512/512 qualification and storage separation.,Do not call the DDO-01D cases fresh DDO-02B requalification evidence.,
NUM-P04,3. Analytical reference and numerical qualification,Fresh numerical results,"All 384 DDO-02B cases passed the same fixed-time mandatory numerical qualification before formal H3 aggregation. The release audit passed all 13 frozen gates, and the fresh observable feature schema records that no reference archive was opened during observabl",data/ddo02b_atlas/ddo02b_case_metadata.json;data/ddo02b_identifiability/ddo02b_observable_feature_schema.json;06_manifests/ddo02b_manifest.json,1e89221d7d13c1933d2ebb89452c4f1c3273e7ec15b9e2bf9557e3b2cea01a9e;3abde8010d1eb99112af74406fffab164ecaa20aa8ba4df3e3c8d907440c28d5;56fb9259a9abbc702684028485cce61b3f00fada37febe56778bc35492fc334d,FROZEN_FRESH_QUALIFICATION,"State 384/384 validity, firewall preservation, and release completion.","Do not interpret release qualification as H3, H5, rollout, or solver qualification.",
SIGNAL-P01,4. Signal resolvability,H1 semantics,H1 compares a componentwise target scale T_c with qualified numerical/reference uncertainty U_c through R_c = T_c/U_c and a stratified bootstrap lower bound L95_c. The frozen criteria require R_c >= 10 and strictly L95_c > 5; analytically unexcited component-c,06_manifests/ddo01br_manifest.json,9dee9a6e1894e8c1745749b159915f7adc5a422c7b612f447188ee0c01e9a875,FROZEN_H1_METHOD,State the frozen H1 thresholds and unexcited-case rule.,Do not redefine H1 using average target magnitude or include unexcited zeros.,
SIGNAL-P02,4. Signal resolvability,H1 component results,"All five frozen components passed H1 over their qualified excited-case scopes. R_c ranged from 2.455e11 for interpolation density to 2.194e12 for pressure-gradient acceleration, and L95_c ranged from 2.284e11 to 1.643e12. These margins place the fixed-time def",06_manifests/ddo01br_manifest.json,9dee9a6e1894e8c1745749b159915f7adc5a422c7b612f447188ee0c01e9a875,FROZEN_H1_PASS,Report componentwise H1 PASS and the frozen numerical range.,"Do not infer scaling, identifiability, learnability, or deployment performance from H1.",
SIGNAL-P03,4. Signal resolvability,Failure-taxonomy implication,The H1 evidence rejects insufficient signal amplitude as the reason that the project later stopped. It does not establish that the same signals are uniquely determined by deployable observables; that question remains H3 and requires separate evidence.,06_manifests/ddo01br_manifest.json;publication/failure_taxonomy.md,9dee9a6e1894e8c1745749b159915f7adc5a422c7b612f447188ee0c01e9a875;0af5609d7ee6603f001e0260ea70959394096ff81d4b051a5f081d02b991a69f,FROZEN_INTERPRETATION,State that weak signal was rejected within the tested scopes and distinguish H1 from H3.,Do not describe H1 PASS as proof of predictability.,
SCALE-P01,5. Componentwise scaling and disorder sensitivity,H2 design,H2 was evaluated prospectively on refinement and spectral tracks at the canonical formal support ratio h/dx = 4. Formal decisions used monotonicity and dispersion gates; reported local slopes were descriptive and were not fitted convergence orders.,06_manifests/ddo01cr_manifest.json,44bc51a9835be9c3bd9cd2732a9f1b9aee28cbc98cb2ca3931b83ad70f584fef,FROZEN_H2_METHOD,State the frozen H2 design and decision variables.,Do not report descriptive slopes as universal convergence orders.,
SCALE-P02,5. Componentwise scaling and disorder sensitivity,Density scaling,"Density rate passed the refinement and spectral gates in both regular and tested jittered scopes, yielding H2_SIGNAL_SCALING_PASS_CANONICAL_SUPPORT. Within the frozen design, density rate therefore retained systematic scaling under the tested disorder perturba",06_manifests/ddo01cr_manifest.json,44bc51a9835be9c3bd9cd2732a9f1b9aee28cbc98cb2ca3931b83ad70f584fef,FROZEN_H2_PASS,Restrict density-rate scaling to the frozen F1 and canonical-support scope.,"Do not extrapolate to all disorder types, support ratios, boundaries, or H3 identifiability.",
SCALE-P03,5. Componentwise scaling and disorder sensitivity,Momentum scaling,"Pressure-gradient acceleration, viscosity-Laplacian acceleration, and the derived total acceleration passed the formal regular scope but failed the jitter refinement requirement. Their final H2 status is therefore regular-scope-only, consistent with a componen",06_manifests/ddo01cr_manifest.json,44bc51a9835be9c3bd9cd2732a9f1b9aee28cbc98cb2ca3931b83ad70f584fef,FROZEN_H2_REGULAR_ONLY,"Use regular-scope-only wording for pressure, viscosity, and total acceleration.",Do not claim disorder-robust momentum scaling or a common component exponent.,
SCALE-P04,5. Componentwise scaling and disorder sensitivity,Interpolation scaling and boundary,"Interpolation density failed the regular and jitter scaling scopes and remains an algebraic diagnostic. Taken together, the H2 results show that systematic scaling is neither uniform across components nor sufficient to establish H3.",06_manifests/ddo01cr_manifest.json;publication/final_hypothesis_ledger.csv,44bc51a9835be9c3bd9cd2732a9f1b9aee28cbc98cb2ca3931b83ad70f584fef;694841a5ff154ebaefa39207a526739eee619a8db6fb53d02447b92d92ba0743,FROZEN_H2_FAIL_DIAGNOSTIC,State interpolation H2 failure and the componentwise H2 conclusion.,Do not infer that interpolation H2 failure forces H3 failure in another component.,
ATLAS-P01,6. Mechanism-stratified analytical defect atlas,Atlas purpose,A mechanism-stratified analytical atlas was constructed to expose identifiability to multiple spatial-defect mechanisms rather than to a single refinement track. The exact registry was frozen before target evaluation and contained 512 complete static cases bal,06_manifests/ddo01d_manifest.json;07_reports/ddo01d_atlas_report.md,aa348eea6d59dd72d4d80116e7a44b212d9f6b571e79bbff514ceab59f0515f8;34287fad5e29fec9cafd9f66899a4ba1069095d9b8d19d495aacfd4f1c21fd9c,FROZEN_ATLAS_DESIGN,State the prospective registry and exact balance.,Do not imply that the atlas itself evaluated H3 or constituted a sealed test.,
ATLAS-P02,6. Mechanism-stratified analytical defect atlas,Family structure,"The families span single-mode, multimode, directional/mechanism, and controlled-disorder configurations under the frozen analytical-field specification. F4 includes matched blocks across support ratio and disorder, retaining difficult strata without failure de",06_manifests/ddo01d_manifest.json;07_reports/ddo01d_atlas_report.md;07_reports/ddo01e_disorder_mechanism_report.md,aa348eea6d59dd72d4d80116e7a44b212d9f6b571e79bbff514ceab59f0515f8;34287fad5e29fec9cafd9f66899a4ba1069095d9b8d19d495aacfd4f1c21fd9c;42c5c0dace911df53b3c03ff8c4c446bcd4c8d016dd85039b45b860ead67bf3a,FROZEN_ATLAS_SCOPE,Describe the mechanism and matched-block organization at the frozen level.,Do not attribute an independent causal effect to support ratio or neighbor count when they co-vary.,
ATLAS-P03,6. Mechanism-stratified analytical defect atlas,Evidence role,"DDO-01D is permanently labeled DEVELOPMENT_ATLAS and later CONSUMED_OBSERVABLE_DESIGN_EVIDENCE. Its 512 cases support initial identifiability analysis and redesign attribution, but they cannot be relabeled as fresh formal requalification evidence.",06_manifests/ddo01d_manifest.json;06_manifests/ddo02z_final_status_ledger.json,aa348eea6d59dd72d4d80116e7a44b212d9f6b571e79bbff514ceab59f0515f8;0f7c74b44575a3f744f31b1d2c7347d462dbfdfb381f47b0fb54087daddce54a,FROZEN_DATA_ROLE,Maintain the development/consumed role of all 512 cases.,Do not count DDO-01D cases toward the DDO-02B fresh quota.,
ATLAS-P04,6. Mechanism-stratified analytical defect atlas,Atlas claim boundary,"The atlas qualifies construction, balance, numerical validity, descriptor availability, and the reference firewall. It does not by itself establish predictability, locality, representation suitability, target manifold dimension, or solver improvement.",07_reports/ddo01d_atlas_report.md,34287fad5e29fec9cafd9f66899a4ba1069095d9b8d19d495aacfd4f1c21fd9c,FROZEN_CLAIM_BOUNDARY,Use the atlas only for its qualified design and data roles.,"Do not claim H3-H6, manifold structure, training success, or solver correction from atlas construction.",
ID-P01,7. Deployable-observable identifiability,H3 operational question,"H3 asks whether particles that are close in a deployment-compatible observable space also have sufficiently similar defects, and whether simple fixed non-neural oracles can predict held-out field lineages. The formal diagnostics combine nearest-neighbor target",data/identifiability/ddo01e_metrics.json,871108e9619b5c5405b8895ed0e82dd22ba08bf9c2104ca04d382aa0e8df9feb,FROZEN_H3_METHOD,Describe the preregistered H3 diagnostic classes without presenting them as production models.,"Do not call kNN, ridge, or polynomial ridge trained correction architectures.",
ID-P02,7. Deployable-observable identifiability,Partition and preprocessing,"The initial analysis used 65,536 SHA-selected particle samples from the 512-case development atlas. Five folds were separated by field lineage, feature scaling was fitted only on each training fold using median and interquartile range, and zero-IQR channels we",data/identifiability/ddo01e_metrics.json;data/identifiability/ddo01e_firewall_audit.json,871108e9619b5c5405b8895ed0e82dd22ba08bf9c2104ca04d382aa0e8df9feb;5e32db365620c8d8d621d3ccabc502aaffe1f83bda542e533541daf235e20d8b,FROZEN_INITIAL_H3_EXECUTION,"State sample count, lineage isolation, and train-only preprocessing.",Do not describe the development evidence as fresh DDO-02B evidence.,
ID-P03,7. Deployable-observable identifiability,Initial component result,"At the formal C3/L3 combination, density rate, pressure-gradient acceleration, and viscosity-Laplacian acceleration all received H3_OBSERVABLE_MAPPING_NOT_IDENTIFIABLE. Favorable averages in selected diagnostics did not override failed tail, conditional-varian",data/identifiability/ddo01e_metrics.json;data/identifiability/ddo01e_formal_verdicts.json,871108e9619b5c5405b8895ed0e82dd22ba08bf9c2104ca04d382aa0e8df9feb;478e51ea8a9b407a0181c9bb7789590a76e7dc8b6aa3301beb5084e8dbd1dd0e,FROZEN_INITIAL_H3_FAIL,Report the componentwise all-gates verdict.,Do not recompute a favorable replacement score or describe H3 failure as fundamental unlearnability.,
ID-P04,7. Deployable-observable identifiability,Coverage and ambiguity,"Formal feature-space coverage was approximately 0.953, above the 0.90 minimum, while H3 still failed. Insufficient coverage was therefore not a sufficient explanation for the initial result; the evidence instead supported observable conditional ambiguity throu",data/identifiability/ddo01e_metrics.json;publication/failure_taxonomy.md,871108e9619b5c5405b8895ed0e82dd22ba08bf9c2104ca04d382aa0e8df9feb;0af5609d7ee6603f001e0260ea70959394096ff81d4b051a5f081d02b991a69f,FROZEN_FAILURE_ATTRIBUTION_BOUNDARY,State that coverage passed but did not remove conditional ambiguity.,Do not claim that coverage proves deployment generalization or that one ambiguity metric alone proves impossibility.,
ID-P05,7. Deployable-observable identifiability,Consistency and target-subspace boundaries,"Within matched F4 blocks, adding simple consistency descriptors did not uniformly reduce pressure or viscosity ambiguity across disorder strata. A post-verdict target SVD remained a covariance diagnostic only and did not alter the formal H3 result or establish",07_reports/ddo01e_descriptor_ablation_report.md;data/identifiability/ddo01e_target_subspace_diagnostic.json,750e84a502035f35cf0b9ee67390be92b2863b9def8b28950ab839cf9e85ae62;e2a06889a503390a47e3e19b7164ad09135dd9575cc643d32a508bf55a381d58,FROZEN_DIAGNOSTIC_BOUNDARY,Report no uniform consistency rescue and preserve the SVD diagnostic label.,Do not claim a two-dimensional target manifold or use target coordinates as inputs.,
REDESIGN-P01,8. Prospective observable redesign and fresh requalification,Attribution role,"DDO-02A used the consumed 512-case evidence only to diagnose why the initial representation failed; it was not an H3 requalification. Directional/equivariant augmentation and component-specific combinations were supported for a fresh test, whereas higher-order",data/ddo02a/attribution_metrics.json,f2dca85e6c0e1db38aed3f32eca90a12375bc60af21a8dd544acc07b2d4c1a10,FROZEN_CONSUMED_ATTRIBUTION,Use the diagnostic statuses only to motivate prospective testing.,Do not present DDO-02A reductions as a new H3 PASS.,
REDESIGN-P02,8. Prospective observable redesign and fresh requalification,Deployment observability,"The redesign distinguished runtime-direct, runtime-estimable, and design-only information. The manufactured-wave fields kh_max, kh_rms, mode_count, and jitter_fraction were classified as DESIGN_ONLY and excluded from the future formal deployable feature set.",data/ddo02a/deployment_observability_ledger.csv;06_manifests/ca06_manifest.json,d2b80a2ae350e62afbcac7e1a6e037915ccd78240461548c3dd931fac5dd298b;9b238af878ae9a8bb64166631abd99e30ca2c5d66d3535781085de86953f033f,FROZEN_DEPLOYMENT_AUDIT,Name the four prohibited design-only fields and their exclusion.,Do not assume that any reference-free field is deployment-observable.,
REDESIGN-P03,8. Prospective observable redesign and fresh requalification,Expanded representation,"CA-06 prospectively froze 30 reference-free descriptors spanning weighted second- to fourth-order particle moments, angular harmonics, observable-frame directional channels, and local quadratic reconstruction proxies. Dimensions, normalization, transformation ",06_manifests/ca06_manifest.json;06_manifests/ca06_descriptor_dictionary.json,9b238af878ae9a8bb64166631abd99e30ca2c5d66d3535781085de86953f033f;591a9826b7560b5a8865b3b4b7d540efd7791deeba80cff9751e357b3908c262,FROZEN_PROSPECTIVE_CONTRACT_WITH_EXTERNAL_CONTEXT,Describe the exact frozen descriptor groups and freeze order.,Do not claim that an equivariant GNN was implemented or tested.,C04
REQUAL-P01,8. Prospective observable redesign and fresh requalification,Freshness design,"DDO-02B generated 384 entirely new complete cases, balanced as 96 per F1-F4 family, using new deterministic phases and disorder realizations. The formal registry recorded zero field-lineage overlap with DDO-01D, and exactly 49,152 fresh particle samples entere",06_manifests/ddo02b_case_registry.json;data/ddo02b_identifiability/ddo02b_metrics.json,5588bcc92c0db124481187c17c1e313ef308cddfc75968f152107a4abb1264b4;551dc207bb23d22271f66d76df4fc65c08aa8649e366183ddc2db23072d2d582,FROZEN_FRESH_DESIGN,"State exact case balance, sample count, and zero lineage overlap.",Do not reuse the 512 development cases as fresh formal evidence.,
REQUAL-P02,8. Prospective observable redesign and fresh requalification,Fresh density result,"For density rate at the formal expanded C3/L3 combination, DNN P90 was 8.202 and the best fixed oracle NRMSE was 0.5481, exceeding the frozen limits of 0.60 and 0.50, respectively. Density rate therefore failed fresh H3 despite having previously passed H1 and ",data/ddo02b_identifiability/ddo02b_metrics.json;data/ddo02b_identifiability/ddo02b_formal_verdicts.json,551dc207bb23d22271f66d76df4fc65c08aa8649e366183ddc2db23072d2d582;6cbedb7c46bc4c3b622ef2601ee4631b9763976bb98dd414fc9dd6d33c88d87c,FROZEN_FRESH_H3_FAIL,Report the exact density-rate failure metrics and distinguish H1/H2 from H3.,Do not use H1/H2 PASS to repair the H3 verdict.,
REQUAL-P03,8. Prospective observable redesign and fresh requalification,Fresh pressure result,"For pressure-gradient acceleration, DNN P90 was 45.54, conditional-variance upper95 was 1.070, and oracle NRMSE was 1.010. Each value exceeded its frozen H3 limit, and the component remained H3_OBSERVABLE_MAPPING_NOT_IDENTIFIABLE on fresh evidence.",data/ddo02b_identifiability/ddo02b_metrics.json;data/ddo02b_identifiability/ddo02b_formal_verdicts.json,551dc207bb23d22271f66d76df4fc65c08aa8649e366183ddc2db23072d2d582;6cbedb7c46bc4c3b622ef2601ee4631b9763976bb98dd414fc9dd6d33c88d87c,FROZEN_FRESH_H3_FAIL,Report the exact pressure metrics and component verdict.,"Do not attribute the failure to a single descriptor, disorder variable, or architecture.",
REQUAL-P04,8. Prospective observable redesign and fresh requalification,Fresh viscosity result,"For viscosity-Laplacian acceleration, DNN median was 0.2773, DNN P90 was 26.88, conditional-variance upper95 was 0.4042, and oracle NRMSE was 1.049. These values exceeded their corresponding frozen limits, so viscosity also failed fresh H3.",data/ddo02b_identifiability/ddo02b_metrics.json;data/ddo02b_identifiability/ddo02b_formal_verdicts.json,551dc207bb23d22271f66d76df4fc65c08aa8649e366183ddc2db23072d2d582;6cbedb7c46bc4c3b622ef2601ee4631b9763976bb98dd414fc9dd6d33c88d87c,FROZEN_FRESH_H3_FAIL,Report the exact viscosity metrics and fresh verdict.,Do not generalize to every viscosity discretization or every observable representation.,
REQUAL-P05,8. Prospective observable redesign and fresh requalification,Frame fallback and terminal implication,"The frozen observable-frame fallback was triggered in exactly 515,904 of 627,264 particle environments (82.246710%), documenting high directional degeneracy for this construction. Because all three primary mappings failed fresh H3, H4 remained NOT_QUALIFIED, n",data/ddo02b_identifiability/ddo02b_observable_feature_schema.json;data/ddo02b_identifiability/ddo02b_formal_verdicts.json;06_manifests/ddo02z_final_status_ledger.json,3abde8010d1eb99112af74406fffab164ecaa20aa8ba4df3e3c8d907440c28d5;6cbedb7c46bc4c3b622ef2601ee4631b9763976bb98dd414fc9dd6d33c88d87c;0f7c74b44575a3f744f31b1d2c7347d462dbfdfb381f47b0fb54087daddce54a,FROZEN_FRESH_LIMITATION_AND_CLOSURE,Report the exact fallback numerator/denominator and route-specific closure.,Do not claim that all equivariant representations fail or that H4/H5 failed.,
DISC-P01,9. Discussion,Core interpretation,"The evidence separates magnitude, systematic dependence, and observable determination. The defects were far above qualified uncertainty, and several components exhibited systematic scaling, yet neither the initial nor the expanded deployment-compatible instant",06_manifests/ddo01br_manifest.json;06_manifests/ddo01cr_manifest.json;data/identifiability/ddo01e_formal_verdicts.json;data/ddo02b_identifiability/ddo02b_formal_verdicts.json,9dee9a6e1894e8c1745749b159915f7adc5a422c7b612f447188ee0c01e9a875;44bc51a9835be9c3bd9cd2732a9f1b9aee28cbc98cb2ca3931b83ad70f584fef;478e51ea8a9b407a0181c9bb7789590a76e7dc8b6aa3301beb5084e8dbd1dd0e;6cbedb7c46bc4c3b622ef2601ee4631b9763976bb98dd414fc9dd6d33c88d87c,FROZEN_CROSS_STAGE_SYNTHESIS,Use the core manuscript statement within the tested scope.,Do not state a universal theorem for SPH defects or inverse problems.,
DISC-P02,9. Discussion,Failure interpretation,"Qualified coverage in both identifiability cycles makes a simple lack of nearby feature samples insufficient as the sole explanation. The remaining evidence is consistent with observable conditional ambiguity, expressed through heavy disagreement tails, compon",data/identifiability/ddo01e_metrics.json;data/ddo02b_identifiability/ddo02b_metrics.json;publication/failure_taxonomy.md,871108e9619b5c5405b8895ed0e82dd22ba08bf9c2104ca04d382aa0e8df9feb;551dc207bb23d22271f66d76df4fc65c08aa8649e366183ddc2db23072d2d582;0af5609d7ee6603f001e0260ea70959394096ff81d4b051a5f081d02b991a69f,FROZEN_INTERPRETATION_WITH_EXTERNAL_CONTEXT,Describe ambiguity as supported by the frozen diagnostics.,Do not claim an architecture-independent impossibility result.,C03
